time,pod,name,cpu_cores,memory_bytes
2023-10-09T09:01:57.916391Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,16m,612Mi
2023-10-09T09:02:13.055557Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,784Mi
2023-10-09T09:02:13.055557Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,17m,615Mi
2023-10-09T09:02:28.198966Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,141m,106Mi
2023-10-09T09:02:28.198966Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,51m,581Mi
2023-10-09T09:02:43.297094Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,141m,106Mi
2023-10-09T09:02:43.297094Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,8m,581Mi
2023-10-09T09:12:58.533115Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:12:58.533115Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,3m,591Mi
2023-10-09T09:13:13.666173Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:13:13.666173Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,3m,591Mi
2023-10-09T09:13:28.810086Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:13:28.810086Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,4m,591Mi
2023-10-09T09:13:43.910391Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:13:43.910391Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,4m,591Mi
2023-10-09T09:13:59.038442Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:13:59.038442Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,61m,591Mi
2023-10-09T09:14:14.155153Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:14:14.155153Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,185m,579Mi
2023-10-09T09:14:29.287841Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,106Mi
2023-10-09T09:14:29.287841Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,109m,579Mi
2023-10-09T09:14:44.356770Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,129m,164Mi
2023-10-09T09:14:44.356770Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,17m,578Mi
2023-10-09T09:14:59.453132Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,195m,272Mi
2023-10-09T09:14:59.453132Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,389m,586Mi
2023-10-09T09:15:14.562154Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,343Mi
2023-10-09T09:15:14.562154Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,802m,713Mi
2023-10-09T09:15:29.657201Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,429Mi
2023-10-09T09:15:29.657201Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,618m,999Mi
2023-10-09T09:15:44.761107Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,457Mi
2023-10-09T09:15:44.761107Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,503m,904Mi
2023-10-09T09:15:59.865234Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,457Mi
2023-10-09T09:15:59.865234Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,503m,904Mi
2023-10-09T09:16:15.010202Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,506Mi
2023-10-09T09:16:15.010202Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,169m,882Mi
2023-10-09T09:16:30.090213Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,570Mi
2023-10-09T09:16:30.090213Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,210m,846Mi
2023-10-09T09:16:45.232821Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,712Mi
2023-10-09T09:16:45.232821Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,210m,846Mi
2023-10-09T09:17:00.373893Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,667Mi
2023-10-09T09:17:00.373893Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,234m,735Mi
2023-10-09T09:17:15.481084Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,680Mi
2023-10-09T09:17:15.481084Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,157m,639Mi
2023-10-09T09:17:30.558953Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,770Mi
2023-10-09T09:17:30.558953Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,143m,604Mi
